"","X","lon_fit","lat_fit","ele_fit","dist","slope50m","Date","EOS_no","VaisalaType","Flux_ave","CO2_ppm_ave","adjusted_ppm","AirTemp_c","WaterTemp_c","Total_hPa","surface_area","flux_umolpers","Totalflux_umolpers","DOC","TDN","Wetland","dist_ANTE","dist_GAVI","dist_COLM","dist_GAVItrib1","dist_GAVItrib2","dist_GAVItrib3","air_pressure_atm","VaporPressure_atm","TotalAir_atm","Total_air_MolperL","CO2_air_MolesPerLiter","CO2_air_gCO2asCPerLiter","WaterTemp_K","KH_mol.L.atm","CO2_water_gCO2asCPerLiter","deltaCO2_gCO2asCperM3","Flux_gCO2asCperM2perDay","k_m.d","Sc","K600.effective","lon","lat","Elevation","FlowAccu","Flowlen","Slope"
"11",2093,-78.1928365675538,-0.315412145205021,4301.504074667,265.812650572115,-0.024430332994499,2021-07-06,"EOS1","new",0.285,1180.57692307692,1311.06243059615,6.876,8.96025,626.3154,13.9879769198336,3.98657342215258,29.6662529815231,NA,NA,"ANTE",265.812650572115,NA,NA,NA,NA,NA,0.61812526140882,0.00992721808187961,0.60819804332694,0.0264684853188999,1.0852078980749e-05,0.000130224947768987,282.11025,0.0553137166817348,0.000870236830056745,0.0409328075979823,0.295488,7.21885493177276,1100.28370115607,9.77563615793164,NA,NA,NA,NA,NA,NA
"12",2250,-78.193095483871,-0.3152581,4296.34854122442,303.447112341851,-0.123359072066457,2021-07-06,"EOS2","old",0.265,347.923076923077,522.961503568738,6.872,8.782,626.3554,16.2771875176393,4.31345469217442,33.9797076736975,NA,NA,"ANTE",303.447112341851,NA,NA,NA,NA,NA,0.61816473834082,0.00992449136152061,0.608240246979299,0.0264707001192303,1.08529870488844e-05,0.000130235844586613,281.932,0.0556120342822079,0.000348995436776876,0.0121656659404467,0.274752,22.5842137491662,1112.15638540423,30.7476748748006,NA,NA,NA,NA,NA,NA
"13",2617,-78.193579527872,-0.31516541296339,4275.80654951102,372.268157854986,-0.226535910466938,2021-07-06,"EOS1","new",-0.01,285.330769230769,316.869634609231,6.868,8.6765,626.3104,15.4120123397206,-0.154120123397206,33.8255875503003,NA,NA,"ANTE",372.268157854986,NA,NA,NA,NA,NA,0.61812032679232,0.00992176530229,0.60819856149003,0.0264692640635769,1.08523982660665e-05,0.000130228779192799,281.8265,0.055789534317929,0.000212136112252096,0.0045695719686017,-0.010368,-2.26892148132041,1119.2540962361,-3.09890446634808,NA,NA,NA,NA,NA,NA
"14",2637,-78.1935963814562,-0.31514541296339,4275.68706261336,375.179619212063,-0.200443022498622,2021-07-05,"EOS1","new",0.08,495.256923076923,548.815690612,6.666,8.41425,627.9044,2.32403016714173,0.185922413371338,34.0115099636716,3.018,0.07629,"ANTE",375.179619212063,NA,NA,NA,NA,NA,0.61969348253252,0.00978495590156764,0.609908526630952,0.0265628450107997,1.08907664544279e-05,0.000130689197453134,281.56425,0.0562338008782988,0.000370343907177135,0.0134766952261659,0.082944,6.15462460254785,1137.12734185186,8.47286905161656,NA,NA,NA,NA,NA,NA
"15",2653,-78.1936105699277,-0.31512841296339,4275.67688080147,377.644553106243,-0.178535809846403,2021-07-06,"EOS2","old",0.075,375.230769230769,563.844014567184,6.868,8.6765,626.3104,3.907914453532,0.2930935840149,34.3046035476865,3.413,0.1029,"ANTE",377.644553106243,NA,NA,NA,NA,NA,0.61812032679232,0.00992176530229,0.60819856149003,0.0264692640635769,1.08523982660665e-05,0.000130228779192799,281.8265,0.055789534317929,0.000377479140007857,0.013793982489812,0.07776,5.63724073576518,1119.2540962361,7.69937198698286,NA,NA,NA,NA,NA,NA
"16",2754,-78.1936966331167,-0.31502641296339,4275.54266423757,392.50135543669,-0.100362763590382,2021-07-05,"EOS1","new",0.223333333333333,925.696923076923,1026.03821133262,6.666,8.905,627.7364,4.09553768567249,0.914670083133521,35.21927363082,NA,NA,"ANTE",392.50135543669,NA,NA,NA,NA,NA,0.61952767941812,0.00978495590156764,0.609742723516552,0.0265556239239681,1.08878058088269e-05,0.000130653669705923,282.055,0.0554059707677111,0.000682183717723796,0.0305580577179926,0.231552,7.57744494551635,1103.94775259323,10.2783031880846,NA,NA,NA,NA,NA,NA
"17",2893,-78.1938348147375,-0.31488741296339,4272.29812576764,414.336961351316,-0.118193081302913,2021-07-05,"EOS1","new",0.373333333333333,2187.97384615385,2425.55039149338,6.667,9.09625,627.6114,2.7975995516371,1.04443716594452,36.2637107967646,NA,NA,"ANTE",414.336961351316,NA,NA,NA,NA,NA,0.61940431400562,0.00978562905290792,0.609618684952712,0.0265501268900626,1.08855520249257e-05,0.000130626624299108,282.24625,0.0550874367127126,0.00160340824421864,0.0811317642789638,0.387072,4.77090574129622,1091.32532592627,6.43431514056175,NA,NA,NA,NA,NA,NA
"18",2960,-78.1939190450388,-0.31482041296339,4268.19946714417,426.321553807138,-0.152465282564043,2021-07-05,"EOS1","new",0.0933333333333333,1573.82,1744.438455728,6.663,8.7295,627.7264,2.24670436917985,0.209692407790119,36.4734032045547,NA,NA,"ANTE",426.321553807138,NA,NA,NA,NA,NA,0.61951781018512,0.00978293669281565,0.609734873492304,0.0265555667493362,1.08877823672279e-05,0.000130653388406734,281.8795,0.0557002763734518,0.00116598844920632,0.0576684490256617,0.096768,1.67800593972866,1115.68182537274,2.28816873814403,NA,NA,NA,NA,NA,NA
"19",3046,-78.1940521108975,-0.31473441296339,4267.19322405249,443.967137466076,-0.157249732522564,2021-07-05,"EOS1","new",0.11,708.646153846154,785.692927412308,6.669,9.31775,627.5174,0.963185584224773,0.105950414264725,36.5793536188194,3.866,0.1229,"ANTE",443.967137466076,NA,NA,NA,NA,NA,0.61931154321542,0.00978697547823571,0.609524567737184,0.0265458381578059,1.08837936447004e-05,0.000130605523736405,282.46775,0.0547213420662294,0.000515930057279353,0.0210854756065139,0.114048,5.4088417130495,1076.91886945525,7.24636390942793,NA,NA,NA,NA,NA,NA
"20",3075,-78.1941008369913,-0.31470741296339,4267.13120982319,450.168560396031,-0.147632111960405,2021-07-06,"EOS1","new",1.075,908.316923076923,1008.52780510062,6.866,8.5785,626.4494,2.86380424224305,3.07858956041128,39.6579431792307,3.958,0.09001,"ANTE",450.168560396031,NA,NA,NA,NA,NA,0.61825750913102,0.00992040252055487,0.608337106610465,0.0264754827510468,1.08549479279292e-05,0.00013025937513515,281.7285,0.0559550430269703,0.000677186600739614,0.0306033364413193,1.11456,36.4195584405356,1125.89463201124,49.8893591264154,NA,NA,NA,NA,NA,NA
"21",241001,-78.1996055164438,-0.324216710792542,4148.74820308681,3.04375834448683,-0.672915825754011,2021-06-30,"EOS2","old",0.09,377.538461538462,566.488203771831,6.786,8.15625,626.1104,3.4114314478313,0.307028830304817,0.307028830304817,8.737,0.2291,"Gavi-mainstem",NA,3.04375834448683,NA,NA,NA,NA,0.61792294213232,0.00986602655702023,0.6080569155753,0.026470851205146,1.08530489941099e-05,0.000130236587929318,281.30625,0.056675137708759,0.000385269563509873,0.0144540290113025,0.093312,6.45577782686292,1155.0343483728,8.95716141126593,NA,NA,NA,NA,NA,NA
"22",167101,-78.199602358005,-0.324359710792542,4140.19177335653,19.1069360043964,-0.5550143093385,2021-06-29,"EOS2","new",1.22,1403.33230769231,1556.69744360369,7.196,7.82575,627.1424,10.6570787601307,13.0016360873595,13.3086649176643,4.093,0.1337,"Gavi-mainstem",NA,19.1069360043964,NA,NA,NA,NA,0.61894144697792,0.0101475099948357,0.608793936983084,0.0264641763584283,1.08503123069556e-05,0.000130203747683467,280.97575,0.0572467585436339,0.00106939059215367,0.0537654025127433,1.264896,23.5262072054645,1178.44884453843,32.9709651252101,NA,NA,NA,NA,NA,NA
"23",47611,-78.1996501458136,-0.324669710792542,4135.94811642437,54.1434052001352,-0.242255106809389,2021-06-30,"EOS2","old",0.235,525.615384615385,788.703258970738,6.801,8.2105,626.2524,11.7525821520673,2.76185680573581,16.0705217234001,NA,NA,"Gavi-mainstem",NA,54.1434052001352,NA,NA,NA,NA,0.61806308524092,0.0098762019633021,0.608186883277618,0.0264750905226045,1.08547871142678e-05,0.000130257445371214,281.3605,0.0565819831958109,0.000535516734546763,0.0229303742900772,0.243648,10.6255570414058,1151.2421724871,14.7183601973161,NA,NA,NA,NA,NA,NA
"24",62711,-78.1996291354391,-0.324821710792542,4135.92245622907,71.2537808366193,-0.068276008463755,2021-06-29,"EOS2","new",2.605,1002.35538461538,1111.94430211292,7.196,7.8905,627.1124,11.3490375527947,29.5642428250303,45.6347645484304,NA,NA,"Gavi-mainstem",NA,71.2537808366193,NA,NA,NA,NA,0.61891183927892,0.0101475099948357,0.608764329284084,0.0264628893164255,1.08497846197345e-05,0.000130197415436814,281.0405,0.0571342107714834,0.000762360721476835,0.0361181515692884,2.700864,74.7785776029738,1173.81914877542,104.592891602665,NA,NA,NA,NA,NA,NA
"25",89311,-78.1996154875771,-0.325087710792542,4132.13038244278,101.121737278547,-0.0764105180655525,2021-06-30,"EOS2","old",0.295,412.153846153846,619.022997972983,6.829,8.50775,626.2664,19.9074724567726,5.87270437474791,51.5074689231783,NA,NA,"Gavi-mainstem",NA,101.121737278547,NA,NA,NA,NA,0.61807690216712,0.00989522084382279,0.608181681323297,0.0264722163904292,1.0853608720076e-05,0.000130243304640912,281.65775,0.0560749071407366,0.000416539885551785,0.0160540541892876,0.305856,19.0516362031523,1130.71720494561,26.1537311442454,NA,NA,NA,NA,NA,NA
"26",90611,-78.1996179802688,-0.325100710792542,4131.93378882584,102.595733295518,-0.0802858311007591,2021-06-29,"EOS2","new",0.105,1095.70615384615,1215.55054841169,7.198,8.0465,627.0824,8.17377761529606,0.858246649606086,52.3657155727843,NA,NA,"Gavi-mainstem",NA,102.595733295518,NA,NA,NA,NA,0.61888223157992,0.0101489002762119,0.608733331303708,0.0264613530627198,1.08491547557151e-05,0.000130189857068581,281.1965,0.0568641727576412,0.000829455316566334,0.0397631518923316,0.108864,2.73781113465994,1162.75006602599,3.81128167427504,NA,NA,NA,NA,NA,NA
"27",115311,-78.1996886725178,-0.325347710792542,4122.52091904042,131.208359565481,-0.261886504336829,2021-06-29,"EOS2","new",0.54,830.969230769231,921.981052672308,7.2,8.16175,626.9834,9.80018832824206,5.29210169725071,57.6578172700351,NA,NA,"Gavi-mainstem",NA,131.208359565481,NA,NA,NA,NA,0.61878452617322,0.0101502907256935,0.608634235447526,0.0264568566692551,1.08473112343946e-05,0.000130167734812735,281.31175,0.0566656848527845,0.00062693625325161,0.0281497283106419,0.559872,19.8890729537998,1154.64923413898,27.5907782974957,NA,NA,NA,NA,NA,NA
"28",120811,-78.1997005589463,-0.325404710792542,4121.71135296702,137.689839533427,-0.25940238754336,2021-06-30,"EOS2","old",0.015,362.153846153846,544.080448621915,6.828,8.57975,626.2084,5.44766538501361,0.0817149807752042,57.7395322508103,NA,NA,"Gavi-mainstem",NA,137.689839533427,NA,NA,NA,NA,0.61801966061572,0.00989454104178969,0.60812511957393,0.026469848979442,1.08526380815712e-05,0.000130231656978854,281.72975,0.0559529281320778,0.000365314730877728,0.0131535863389316,0.015552,1.1823391430495,1125.80964283872,1.61956702083625,NA,NA,NA,NA,NA,NA
"29",142511,-78.1997062434632,-0.325621710792542,4115.55147910209,161.911987764805,-0.302172249052571,2021-06-29,"EOS2","new",0.16,447.535384615385,496.548967649538,7.206,8.3385,626.9874,14.7121055893993,2.35393689430388,60.0934691451141,NA,NA,"Gavi-mainstem",NA,161.911987764805,NA,NA,NA,NA,0.61878847386642,0.0101544630829442,0.608634010783476,0.0264562806907488,1.0847075083207e-05,0.000130164900998484,281.4885,0.0563629380696813,0.000335843504546341,0.0115926503940264,0.165888,14.3097561266473,1142.35146532759,19.744970023928,NA,NA,NA,NA,NA,NA
"30",154211,-78.199704301023,-0.325738710792542,4113.20368755591,174.945320669297,-0.252016049179163,2021-06-29,"EOS2",NA,1.91,NA,NA,NA,NA,NA,3.45327049811769,6.5957466514048,66.6892157965189,3.44,0.1274,"Gavi-mainstem",NA,174.945320669297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.980288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",158311,-78.1997083434201,-0.325780710792542,4111.50233467722,179.644634757485,-0.231993127414774,2021-06-30,"EOS2","old",0.09,615.615384615385,924.818518333138,6.823,8.5275,626.0904,5.41392525808237,0.487253273227413,67.1764690697463,NA,NA,"Gavi-mainstem",NA,179.644634757485,NA,NA,NA,NA,0.61790320366632,0.00989114264997164,0.608012061016348,0.0264654005156149,1.08508142114021e-05,0.000130209770536825,281.6775,0.0560414149687627,0.000621937660280444,0.0275571267208362,0.093312,3.38612950999155,1129.36856263967,4.6456425058712,NA,NA,NA,NA,NA,NA
"32",183011,-78.1998132535558,-0.326028710792542,4110.96761050537,209.890098082383,-0.100180571433295,2021-06-29,"EOS2","new",0.61,1268.17230769231,1407.27990356431,7.215,8.53225,626.8724,0,0,67.1764690697463,NA,NA,"Gavi-mainstem",NA,209.890098082383,NA,NA,NA,NA,0.61867497768692,0.0101607244569216,0.608514253229998,0.0264502259282311,1.08445926305748e-05,0.000130135111566897,281.68225,0.0560333635742802,0.000946255517846363,0.0457299714454466,0.632448,13.8300545574247,1129.04448449308,18.9715928165176,NA,NA,NA,NA,NA,NA
"33",190311,-78.19985738685,-0.326101710792542,4109.616035166,219.383376413626,-0.0992316788951806,2021-06-30,"EOS2","old",0.43,525.615384615385,789.007456838455,6.768,8.31275,626.1864,0,0,67.1764690697463,7.943,0.2281,"Gavi-mainstem",NA,219.383376413626,NA,NA,NA,NA,0.61799794830312,0.00985382828622769,0.608144120016892,0.0264763499606868,1.08553034838816e-05,0.000130263641806579,281.46275,0.0564069195564332,0.000534065761767752,0.0227772336973671,0.445824,19.573228510692,1144.13363959745,27.0287037755549,NA,NA,NA,NA,NA,NA
"34",214311,-78.1998747633596,-0.326342710792542,4108.09468859688,247.812114107941,-0.0675579996847774,2021-06-30,"EOS2","old",0.145,540.615384615385,811.609659599223,6.809,8.36025,626.2334,0,0,67.1764690697463,NA,NA,"Gavi-mainstem",NA,247.812114107941,NA,NA,NA,NA,0.61804433369822,0.00988163263365823,0.608162701064562,0.0264732813305651,1.08540453455317e-05,0.00013024854414638,281.51025,0.0563258216376425,0.000548574971111683,0.02356257971156,0.150336,6.38028610790202,1140.8486330244,8.7978902896838,NA,NA,NA,NA,NA,NA
"35",273711,-78.200611245549,-0.328361,4103.53073069565,523.585969613928,-0.0368095598108844,2021-06-18,"EOS1","new",0.6,6833.71230769231,7591.788998038,7.897,8.32425,626.0454,25.4276556520685,15.2565933912411,82.4330624609874,2.393,0.1063,"Gavi-mainstem",NA,523.585969613928,NA,NA,NA,NA,0.61785879211782,0.0106452250626849,0.607213567055135,0.0263296411452365,1.0795152869547e-05,0.000129541834434564,281.47425,0.0563872721051296,0.00513696326396517,0.282354834692,0.62208,2.20318522499741,1143.33732041376,3.0413232021089,NA,NA,NA,NA,NA,NA
"36",29572,-78.200607085156,-0.328581,4102.62682784092,548.178251451964,-0.0367769017103971,2021-06-18,"EOS1","new",0.75,6561.855,7288.1204552145,7.89,8.27225,626.2134,16.7727400914293,12.579555068572,95.0126175295594,NA,NA,"Gavi-mainstem",NA,548.178251451964,NA,NA,NA,NA,0.61802459523222,0.0106401504510726,0.607384444781147,0.0263377066354314,1.07984597205269e-05,0.000129581516646322,281.42225,0.0564761800820971,0.00493926243946451,0.271632405934507,0.7776,2.86269231141547,1146.94317181221,3.95794720174723,NA,NA,NA,NA,NA,NA
"37",3162,-78.200602967393,-0.328786,4101.7861263002,571.052441614179,-0.0367557524970403,2021-06-18,"EOS1","new",0.505,4336.81692307692,4817.05607978062,7.886,8.29475,626.1764,12.4942914914159,6.30961720316505,101.322234732724,NA,NA,"Gavi-mainstem",NA,571.052441614179,NA,NA,NA,NA,0.61798807907012,0.0106372516313176,0.607350827438802,0.0263366237486987,1.07980157369665e-05,0.000129576188843598,281.44475,0.056437689059088,0.00326236215853018,0.176807200445845,0.523584,2.96132735929141,1145.38133859095,4.091530993608,NA,NA,NA,NA,NA,NA
"38",3378,-78.2006646551911,-0.329003,4095.13662052828,596.279779936798,-0.151188622551451,2021-06-18,"EOS1","new",0.515,2014.32461538462,2236.71995176292,7.875,8.21225,626.3954,10.4415216887605,5.37738366971164,106.699618402436,NA,NA,"Gavi-mainstem",NA,596.279779936798,NA,NA,NA,NA,0.61820421527282,0.010629283469293,0.607574931803527,0.0263473728717303,1.08024228774094e-05,0.000129629074528913,281.36225,0.056578981359685,0.00151861603749156,0.078587467486309,0.533952,6.79436578221612,1151.12008306811,9.41095320976104,NA,NA,NA,NA,NA,NA
"39",3423,-78.2006861704439,-0.329048,4094.22328212172,601.835569356736,-0.165471410767645,2021-06-18,"EOS1","new",0.305,1584.14461538462,1758.93818175938,7.868,8.15625,626.4404,4.58486089375458,1.39838257259515,108.098000975031,NA,NA,"Gavi-mainstem",NA,601.835569356736,NA,NA,NA,NA,0.61824862682132,0.0106242155629074,0.607624411258412,0.0263501748906601,1.08035717051706e-05,0.000129642860462048,281.30625,0.056675137708759,0.00119625676406888,0.0604504898689945,0.316224,5.23112386161479,1155.0343483728,7.25799772660041,NA,NA,NA,NA,NA,NA
"40",3581,-78.2007795258703,-0.329206,4092.82631596404,622.28492197544,-0.175045561701701,2021-06-18,"EOS1","new",0.135,810.232307692308,899.416522357538,7.857,8.0995,626.6184,13.7642103472577,1.85816839687979,109.956169371911,NA,NA,"Gavi-mainstem",NA,622.28492197544,NA,NA,NA,NA,0.61842429916872,0.0106162560170019,0.607808043151718,0.0263591700391405,1.08072597160476e-05,0.000129687116592571,281.2495,0.0567727877481787,0.000612748599852114,0.0274247470584144,0.139968,5.10371161133665,1159.01666012996,7.0934145344218,NA,NA,NA,NA,NA,NA
"41",3718,-78.2008767342562,-0.329343,4090.21018014833,640.993006510528,-0.124645294574889,2021-06-18,"EOS1","new",0.99,715.969230769231,794.612293433846,7.844,8.009,626.7724,18.0566356705258,17.8760693138206,127.832238685732,NA,NA,"Gavi-mainstem",NA,640.993006510528,NA,NA,NA,NA,0.61857628535692,0.0106068560640836,0.607969429292836,0.0263673887803691,1.08106293999513e-05,0.000129727552799416,281.159,0.0569289416619131,0.000542837242760812,0.0235178974397833,1.026432,43.6447179271931,1165.3999571525,60.8266032446971,NA,NA,NA,NA,NA,NA
"42",3907,-78.2010302394368,-0.329534,4087.79009622868,668.282808684934,-0.107620415740719,2021-06-18,"EOS1","new",0.915,685.215,760.3268293485,7.841,7.9255,626.9214,12.6341276069634,11.5602267603715,139.392465446103,2.791,0.1907,"Gavi-mainstem",NA,668.282808684934,NA,NA,NA,NA,0.61872333692862,0.0106046878872571,0.608118649041363,0.0263741419611214,1.08133982040598e-05,0.000129760778448717,281.0755,0.0570734878401712,0.00052073404859253,0.0223142081793848,0.948672,42.5142578384851,1171.32525424181,59.4015435647196,NA,NA,NA,NA,NA,NA
"43",4095,-78.201204451156,-0.329722,4085.65183123015,696.833033646869,-0.0702463283135597,2021-06-18,"EOS1","new",0.245,829.403076923077,920.426249361231,7.836,7.89225,626.8364,4.39997054946074,1.07799278461788,140.470458230721,NA,NA,"Gavi-mainstem",NA,696.833033646869,NA,NA,NA,NA,0.61863944844812,0.0106010751281306,0.608038373319989,0.0263711296505249,1.08121631567152e-05,0.000129745957880583,281.04225,0.0571311727317255,0.000631020372468849,0.0286383951658368,0.254016,8.86977075807026,1173.69431014668,12.4054999098633,NA,NA,NA,NA,NA,NA
"44",4239,-78.2013594264059,-0.329866,4082.19047985377,720.399095794417,-0.111160584293549,2021-06-18,"EOS1","new",0.385,986.995384615385,1095.079669992,7.828,7.80175,626.9944,19.5848390647749,7.54016303993832,148.010621270659,NA,NA,"Gavi-mainstem",NA,720.399095794417,NA,NA,NA,NA,0.61879538232952,0.0105952969720931,0.608200085357427,0.0263788942739702,1.08153466523278e-05,0.000129784159827933,280.95175,0.0572885445876445,0.000752826246016317,0.0356931743345823,0.399168,11.183314665663,1180.17015516138,15.6843755836992,NA,NA,NA,NA,NA,NA
"45",4507,-78.2017078403642,-0.330135,4078.39205258826,769.444445376745,-0.0787979202164531,2021-06-18,"EOS1","new",2.665,774.493846153846,859.349250723692,7.825,7.745,626.9584,15.5000222066474,41.3075591807154,189.318180451375,NA,NA,"Gavi-mainstem",NA,769.444445376745,NA,NA,NA,NA,0.61875985309072,0.010593130880042,0.608166722210678,0.0263777288801793,1.08148688408735e-05,0.000129778426090482,280.895,0.0573875010047371,0.000591790871871911,0.0265137396964828,2.763072,104.212835745934,1184.25173416791,146.408942300308,NA,NA,NA,NA,NA,NA
"46",4629,-78.2018864379987,-0.330257,4078.42126982876,793.528341584876,-0.013259154014673,2021-06-18,"EOS1","new",0.845,1066.57846153846,1183.10098522523,7.823,7.71375,627.1674,21.8490978478291,18.4624876814156,207.78066813279,NA,NA,"Gavi-mainstem",NA,793.528341584876,NA,NA,NA,NA,0.61896612006042,0.0105916870357361,0.608374433024684,0.0263869256475224,1.08186395154842e-05,0.00012982367418581,280.86375,0.057442082487022,0.000815517412605416,0.0393876762831334,0.876096,22.2428963237712,1186.50615153453,31.2788451085844,NA,NA,NA,NA,NA,NA
